Tiempo_ms	Voltaje_V
888	3.05019
889	3.04616
890	3.04938
892	3.05019
893	3.05100
894	3.04616
895	3.05019
896	3.07194
897	3.04938
899	3.05422
900	3.05502
901	3.05180
902	3.04616
904	3.05019
905	3.04938
906	3.04938
907	3.05180
908	3.05019
910	3.05100
911	3.04294
912	3.04938
913	3.04697
915	3.04455
916	3.05100
917	3.04777
918	3.04858
920	3.05180
921	3.04616
922	3.04536
923	3.05180
925	3.07758
926	3.04616
932	3.05100
934	3.05261
935	3.05180
936	3.04858
938	3.04938
939	3.04536
940	3.05261
942	3.05100
943	3.04938
944	3.04777
946	3.04697
947	3.05422
948	3.05261
950	3.03972
1000	3.05019
1002	3.04294
1003	3.05019
1004	3.05019
1005	3.04938
1006	3.05100
1007	3.04294
1008	3.04294
1009	3.04697
1010	3.04938
1012	3.05180
1013	3.04777
1014	3.05422
1015	3.05341
1016	3.04777
1017	3.05019
1018	3.05100
1019	3.05180
1020	3.05341
1022	3.04294
1023	3.05100
1024	3.05583
1025	3.04938
1026	3.05180
1027	3.05019
1028	3.04777
1029	3.03649
1031	3.05261
1032	3.05180
1033	3.04697
1034	3.05019
1035	3.04777
1036	3.05341
1037	3.05100
1039	3.05422
1040	3.05100
1041	3.04616
1042	3.05261
1043	3.04697
1045	3.05019
1046	3.04938
1047	3.05100
1048	3.04938
1049	3.05019
1050	3.05905
1051	3.04777
1053	3.04697
1054	3.04938
1055	3.04616
1056	3.05019
1057	3.04536
1059	3.09047
1060	3.05100
1061	3.04938
1062	3.04455
1064	3.05019
1065	3.04938
1066	3.04938
1067	3.04374
1068	3.04536
1070	3.05180
1071	3.05019
1072	3.04777
1073	3.03730
1074	3.05019
1075	3.04697
1077	3.05100
1078	3.05100
1079	3.04536
1081	3.04938
1082	3.05261
1083	3.05100
1084	3.05180
1086	3.04294
1087	3.05019
1088	3.05019
1089	3.04938
1090	3.05100
1092	3.04777
1093	3.04616
1094	2.99782
1096	3.05100
1097	3.05583
1099	3.04938
1100	3.05502
1101	3.04697
1103	3.05100
1104	3.05019
1105	3.04777
1106	3.05422
1108	3.04374
1109	3.05100
1110	3.04777
1112	3.05100
1113	3.05261
1114	3.04455
1116	3.05422
1117	3.04374
1118	3.05100
1120	3.04697
1171	3.04697
1173	3.04938
1174	3.04938
1175	3.05100
1176	3.04938
1177	3.04938
1178	3.05261
1180	3.04938
1181	3.04938
1182	3.05019
1183	3.04697
1184	3.04858
1185	3.04938
1186	3.03005
1187	3.05100
1188	3.04777
1190	3.05341
1191	3.04455
1192	3.04777
1193	3.05180
1194	3.05261
1195	3.05019
1196	3.05019
1197	3.04938
1198	3.05180
1199	3.05341
1201	3.05180
1202	3.04777
1203	3.05100
1204	3.05019
1205	3.05180
1206	3.04858
1207	3.04938
1209	3.04616
1210	3.05019
1211	3.05583
1212	3.05019
1213	3.05100
1214	3.04938
1215	3.04052
1217	3.04294
1218	3.04616
1219	3.05100
1220	3.04455
1221	3.04052
1223	3.04133
1224	3.04455
1225	3.05019
1226	3.05502
1227	3.04616
1229	3.05019
1230	3.04938
1231	3.04455
1232	3.05100
1233	3.05019
1234	3.04938
1236	3.05100
1237	3.04858
1238	3.05744
1239	3.05019
1240	3.04938
1242	3.05019
1243	3.05180
1244	3.04777
1245	3.05019
1246	3.04777
1248	3.04858
1249	3.04858
1250	3.05100
1251	3.05180
1253	3.04938
1254	3.05100
1255	3.04938
1256	3.05422
1258	3.06228
1259	3.04938
1260	3.04536
1262	3.05905
1263	3.04938
1264	3.05341
1265	3.04536
1267	3.05180
1268	3.05583
1269	3.04938
1271	3.05100
1272	3.05100
1273	3.05744
1274	3.05180
1276	3.04777
1277	3.05261
1278	3.05180
1280	3.04616
1281	3.04536
