Tiempo_ms	Voltaje_V
1	2.17502
2	2.18953
4	2.17583
5	2.17905
6	2.17422
7	2.17583
8	2.17422
9	2.17664
10	2.17422
11	2.17905
12	2.17100
13	2.17422
15	2.17744
16	2.17100
17	2.17261
18	2.17180
19	2.17502
20	2.15085
21	2.17422
22	2.17019
24	2.17261
25	2.17583
26	2.17502
27	2.17502
28	2.17905
29	2.17744
30	2.17583
31	2.17422
33	2.17019
34	2.17502
35	2.16858
36	2.17502
37	2.17502
38	2.17583
39	2.16697
41	2.17502
42	2.17502
43	2.12265
44	2.17261
45	2.17502
46	2.17502
47	2.17422
49	2.17502
50	2.17905
51	2.16777
52	2.17583
53	2.18147
54	2.17502
56	2.17664
57	2.14441
58	2.18066
59	2.17905
60	2.17019
62	2.17825
63	2.17664
64	2.17502
65	2.17583
66	2.17664
68	2.17341
69	2.17502
70	2.17583
71	2.17422
72	2.17664
73	2.17341
75	2.17502
76	2.17261
77	2.17583
78	2.17583
80	2.17583
81	2.17341
82	2.17341
83	2.17341
84	2.17422
86	2.17261
87	2.18630
88	2.16777
89	2.17502
91	2.12185
92	2.17583
93	2.16938
94	2.17664
96	2.17019
97	2.17583
98	2.17261
100	2.17261
101	2.17583
102	2.17664
103	2.17422
105	2.17583
106	2.17261
107	2.17744
108	2.17583
110	2.17341
111	2.17583
112	2.17422
114	2.17341
115	2.17664
116	2.18066
117	2.17502
119	2.17744
167	2.17502
168	2.17583
170	2.17261
171	2.17261
172	2.17261
173	2.17422
174	2.18066
175	2.17341
176	2.17422
177	2.17502
178	2.17341
179	2.17905
181	2.17583
182	2.17341
183	2.17905
184	2.17583
185	2.17502
186	2.17502
187	2.17422
188	2.17422
189	2.17583
190	2.17422
192	2.17502
193	2.17100
194	2.17744
195	2.18066
196	2.18066
197	2.17583
198	2.17422
199	2.17502
201	2.18228
202	2.17986
203	2.17341
204	2.17261
205	2.17583
206	2.17905
208	2.17502
209	2.17583
210	2.17744
211	2.17583
212	2.17019
213	2.18147
215	2.17583
216	2.17664
217	2.17583
218	2.16858
219	2.17341
220	2.17664
222	2.17100
223	2.17583
224	2.17583
225	2.17422
226	2.17341
228	2.17583
229	2.17664
230	2.16858
231	2.17502
232	2.18872
233	2.17583
235	2.17905
236	2.17100
237	2.17583
238	2.17502
240	2.17502
241	2.17664
242	2.17664
243	2.17422
244	2.17905
246	2.16938
247	2.17583
248	2.17583
249	2.17100
251	2.17422
252	2.17341
253	2.17422
254	2.17583
256	2.17341
257	2.17422
258	2.11943
259	2.17583
261	2.17664
262	2.16052
263	2.17664
264	2.17502
266	2.17341
267	2.17664
268	2.17422
269	2.17341
271	2.17744
272	2.17744
273	2.17502
275	2.18308
276	2.17583
278	2.18550
279	2.18066
281	2.17825
282	2.17744
283	2.17664
284	2.17583
286	2.17502
336	2.17664
338	2.17502
339	2.17502
340	2.17502
341	2.17583
342	2.17583
343	2.17422
344	2.17905
346	2.17422
347	2.17180
348	2.17664
349	2.17422
350	2.17422
351	2.17502
352	2.17502
353	2.17664
354	2.17422
355	2.17502
357	2.17986
358	2.17664
359	2.17502
360	2.17422
361	2.17341
362	2.17664
363	2.17502
364	2.17744
366	2.17341
367	2.17664
368	2.17422
369	2.16777
370	2.17341
371	2.17502
372	2.17100
374	2.17422
375	2.17502
376	2.17583
377	2.17664
378	2.15085
379	2.18228
380	2.17905
382	2.17664
383	2.17664
384	2.17261
385	2.17341
386	2.17744
387	2.17583
389	2.17583
390	2.17019
391	2.17422
392	2.17502
393	2.19114
395	2.17422
396	2.18308
397	2.17744
398	2.17583
399	2.16938
400	2.17744
402	2.17502
403	2.17502
404	2.17583
410	2.17341
411	2.16294
413	2.17583
414	2.17664
415	2.17422
416	2.17422
418	2.17583
419	2.17583
420	2.17502
421	2.17664
423	2.17744
424	2.17422
425	2.17664
427	2.15810
428	2.17744
429	2.17502
430	2.17341
432	2.17583
433	2.17744
434	2.17502
436	2.17664
437	2.16374
438	2.17825
440	2.17664
441	2.17905
442	2.17664
444	2.17502
445	2.16133
446	2.17583
447	2.17019
449	2.17502
450	2.19597
451	2.17422
453	2.17986
454	2.17744
455	2.17422
456	2.17502
458	2.17744
459	2.17422
460	2.17502
520	2.17664
521	2.17905
522	2.17502
524	2.17502
525	2.17502
526	2.17341
527	2.17583
528	2.17583
529	2.17664
530	2.17744
531	2.17341
532	2.17664
533	2.17502
534	2.17664
536	2.17261
537	2.17502
538	2.17261
539	2.17664
540	2.17583
541	2.17583
542	2.17341
543	2.17583
545	2.17905
546	2.17905
547	2.17422
548	2.17019
549	2.17744
550	2.17502
551	2.17583
552	2.20161
554	2.17422
555	2.16938
556	2.17664
557	2.17583
558	2.18066
559	2.17019
561	2.14199
562	2.17744
563	2.17422
564	2.17664
565	2.17502
566	2.17502
568	2.18630
569	2.17341
570	2.19194
571	2.17502
572	2.17583
573	2.18066
575	2.17502
576	2.17583
577	2.17583
578	2.16616
579	2.21611
581	2.17422
582	2.17744
583	2.17502
584	2.17664
585	2.17502
586	2.17341
588	2.17422
589	2.17502
590	2.17019
591	2.17664
593	2.17583
594	2.17664
595	2.17502
596	2.17905
597	2.17664
599	2.17986
600	2.17422
601	2.17341
602	2.17583
604	2.17502
605	2.17502
606	2.17502
607	2.17583
609	2.17422
610	2.17341
611	2.17261
612	2.17583
614	2.17422
615	2.17664
616	2.17583
617	2.17261
619	2.17664
620	2.17019
621	2.17019
622	2.17422
624	2.17341
625	2.17502
626	2.17583
627	2.17583
629	2.17100
630	2.17100
631	2.17502
633	2.14763
634	2.17905
635	2.18228
636	2.17502
638	2.17341
732	2.17583
734	2.17583
735	2.17664
736	2.16133
737	2.17583
738	2.17986
739	2.17583
740	2.17422
741	2.17664
742	2.17905
743	2.18066
745	2.17341
746	2.17422
747	2.17583
748	2.17744
749	2.17422
750	2.17502
751	2.17502
752	2.17583
753	2.17261
754	2.17583
756	2.17502
757	2.17341
758	2.17422
759	2.17341
760	2.17422
761	2.17986
762	2.17583
763	2.17664
765	2.17583
766	2.17664
767	2.17583
768	2.18308
769	2.17905
770	2.17583
771	2.17583
773	2.17583
774	2.17664
775	2.20161
776	2.17905
777	2.17583
778	2.17502
780	2.17341
781	2.17502
782	2.17583
783	2.17583
784	2.17502
786	2.17986
787	2.17502
788	2.17100
789	2.17341
790	2.17502
791	2.17502
793	2.18147
794	2.16777
795	2.17422
796	2.17502
797	2.17341
799	2.18066
800	2.17341
801	2.17583
802	2.23464
803	2.18228
805	2.17502
806	2.17583
807	2.17583
808	2.17502
810	2.17502
811	2.22014
812	2.17664
813	2.17664
815	2.17422
816	2.17502
817	2.17261
818	2.16777
819	2.17583
821	2.17502
822	2.17905
823	2.17583
824	2.17502
826	2.17422
827	2.17341
828	2.17583
829	2.17261
831	2.17905
832	2.17664
838	2.17664
839	2.17100
841	2.17261
842	2.19678
843	2.17583
845	2.18147
846	2.17341
847	2.17905
849	2.17905
850	2.17180
851	2.17502
853	2.17664
854	2.18066
855	2.17744
982	2.17583
983	2.16777
984	2.17422
985	2.17422
986	2.17341
988	2.17664
989	2.17583
990	2.17502
991	2.17744
992	2.17986
993	2.17583
994	2.17744
995	2.16777
996	2.16858
997	2.17664
999	2.17583
1000	2.17019
1001	2.17583
1002	2.17905
1003	2.17664
1004	2.17502
1005	2.17744
1006	2.17502
1008	2.17664
1009	2.17583
1010	2.17261
1011	2.16455
1012	2.17019
1013	2.17341
1014	2.17664
1015	2.17664
1017	2.17583
1018	2.17502
1019	2.17341
1020	2.17583
1021	2.17422
1022	2.17502
1024	2.17341
1025	2.17583
1026	2.17744
1027	2.17825
1028	2.17583
1029	2.17019
1031	2.17341
1032	2.17502
1033	2.17502
1034	2.17422
1035	2.17019
1036	2.17905
1038	2.17261
1039	2.17583
1040	2.17422
1041	2.17583
1042	2.17422
1044	2.17744
1045	2.17905
1046	2.17422
1047	2.17664
1048	2.17502
1050	2.17422
1051	2.17744
1052	2.17341
1053	2.17664
1055	2.17664
1056	2.17583
1057	2.17019
1058	2.17744
1059	2.18147
1061	2.17664
1062	2.17502
1063	2.17341
1064	2.17341
1066	2.17986
1067	2.17019
1068	2.17502
1069	2.18308
1071	2.17341
1072	2.17583
1073	2.17422
1074	2.17422
1076	2.17341
1077	2.17422
1078	2.17422
1080	2.17502
1081	2.17341
1082	2.17422
1083	2.17341
1085	2.17502
1086	2.17341
1087	2.17583
1089	2.17261
1090	2.17583
1091	2.17502
1092	2.17744
1094	2.17905
1095	2.17583
1096	2.17261
1098	2.17664
1099	2.14521
1101	2.17664
1157	2.17261
1158	2.17583
1160	2.17583
1161	2.16777
1162	2.17502
1163	2.17422
1164	2.17583
1165	2.17100
1166	2.17502
1167	2.17583
1168	2.17422
1169	2.16938
1171	2.17664
1172	2.17422
1173	2.17261
1174	2.17422
1175	2.17341
1176	2.17422
1177	2.17583
1178	2.17664
1179	2.18308
1181	2.17744
1182	2.17502
1183	2.17341
1184	2.17502
1185	2.17986
1186	2.17664
1187	2.17422
1189	2.17664
1190	2.17502
1191	2.17583
1192	2.17422
1193	2.17825
1194	2.17502
1195	2.18389
1197	2.17422
1198	2.18066
1199	2.17583
1200	2.17502
1201	2.17422
1202	2.17905
1204	2.17744
1205	2.18953
1206	2.17583
1207	2.17583
1208	2.17583
1210	2.17583
1211	2.18308
1212	2.17502
1213	2.17422
1214	2.17422
1216	2.17422
1217	2.17664
1218	2.16938
1219	2.17986
1220	2.17341
1222	2.17583
1223	2.17261
1224	2.17341
1225	2.17261
1226	2.17986
1228	2.17502
1229	2.17744
1230	2.17744
1231	2.17664
1233	2.17422
1234	2.17583
1235	2.17583
1236	2.17019
1238	2.17744
1239	2.17502
1240	2.17261
1241	2.17422
1243	2.17664
1244	2.17583
1245	2.17502
1246	2.17502
1248	2.17422
1249	2.17502
1250	2.17502
1251	2.17341
1253	2.17583
1254	2.17905
1255	2.17583
1256	2.17905
1258	2.17502
1259	2.16938
1260	2.17019
1262	2.12749
1263	2.17422
1264	2.18147
1266	2.17502
1267	2.17502
1268	2.16938
1269	2.17744
1271	2.17100
1272	2.17583
1273	2.17664
1275	2.17502
1276	2.17664
1374	2.17502
1375	2.17502
1376	2.17261
1378	2.17583
1379	2.17583
1380	2.15005
1381	2.17422
1382	2.17422
1383	2.17502
1384	2.17744
1385	2.17261
1386	2.17583
1387	2.17744
1389	2.17583
1390	2.17502
1391	2.17422
1392	2.17422
1393	2.17664
1394	2.18872
1395	2.17502
1396	2.17502
1398	2.17422
1399	2.17583
1400	2.17341
1401	2.17502
1402	2.17019
1403	2.17502
1404	2.17502
1406	2.17422
1407	2.17422
1408	2.17905
1409	2.17341
1410	2.17261
1411	2.17664
1412	2.17744
1414	2.17502
1415	2.17422
1416	2.17261
1417	2.17341
1418	2.17664
1419	2.17502
1421	2.17583
1422	2.17502
1423	2.17422
1424	2.17422
1425	2.18066
1426	2.17583
1428	2.17583
1429	2.17261
1430	2.17664
1431	2.17100
1432	2.17583
1434	2.17664
1435	2.17583
1436	2.18389
1437	2.17664
1438	2.17422
1440	2.17664
1441	2.17100
1442	2.17422
1443	2.17261
1445	2.17019
1446	2.17664
1447	2.17422
1448	2.17422
1450	2.17583
1451	2.17502
1452	2.18308
1453	2.19678
1454	2.17502
1456	2.17583
1457	2.17583
1458	2.17583
1459	2.17583
1461	2.17664
1462	2.17422
1463	2.17583
1465	2.17261
1466	2.17664
1467	2.17583
1468	2.17502
1470	2.17502
1471	2.17341
1472	2.17825
1473	2.17019
1475	2.17502
1476	2.17261
1477	2.17744
1479	2.17583
1480	2.17583
1481	2.17100
1482	2.17502
1484	2.17502
1485	2.17341
1486	2.17664
1488	2.15810
1489	2.17422
