Tiempo_ms	Voltaje_V
852	1.38768
854	1.38848
855	1.38768
856	1.38848
857	1.39090
858	1.39251
860	1.38929
861	1.38768
862	1.38768
863	1.38284
864	1.38848
866	1.38848
867	1.38607
868	1.38123
869	1.38848
871	1.38768
872	1.39251
873	1.39332
874	1.39009
875	1.38687
877	1.38607
878	1.38204
879	1.37156
880	1.39493
882	1.38607
883	1.38768
884	1.38365
885	1.38929
887	1.38284
888	1.38607
889	1.39009
891	1.38848
897	1.38768
898	1.38284
899	1.39009
901	1.38607
902	1.38043
903	1.38929
905	1.38607
906	1.39734
907	1.38929
909	1.38204
910	1.38848
911	1.38929
913	1.38204
914	1.38445
964	1.38687
966	1.38607
967	1.38687
968	1.38768
969	1.38687
970	1.39009
971	1.38848
972	1.38445
974	1.42554
975	1.38929
976	1.39251
977	1.38607
978	1.38848
979	1.38848
980	1.38848
981	1.38768
982	1.38365
984	1.38687
985	1.38687
986	1.38929
987	1.38848
988	1.39009
989	1.39332
990	1.39090
991	1.39493
992	1.38687
994	1.38607
995	1.38768
996	1.38929
997	1.39171
998	1.39251
999	1.39251
1000	1.39090
1001	1.38768
1003	1.38445
1004	1.38687
1005	1.38123
1006	1.38123
1007	1.38768
1008	1.38607
1010	1.38848
1011	1.38768
1012	1.38929
1013	1.38284
1014	1.38848
1015	1.39654
1017	1.38204
1018	1.38607
1019	1.38768
1020	1.38768
1021	1.38445
1023	1.39009
1024	1.38284
1025	1.38687
1026	1.38848
1027	1.38284
1029	1.38607
1030	1.38768
1031	1.39009
1032	1.38607
1033	1.38607
1035	1.38929
1036	1.38204
1037	1.38848
1038	1.38365
1039	1.38848
1041	1.39009
1042	1.38607
1043	1.38929
1044	1.38848
1046	1.38768
1047	1.38768
1048	1.38687
1049	1.36753
1051	1.39734
1052	1.38768
1053	1.38607
1054	1.38687
1056	1.38687
1057	1.38848
1058	1.39090
1059	1.38929
1061	1.38687
1062	1.38848
1063	1.39009
1064	1.38929
1066	1.39251
1067	1.38687
1068	1.38687
1070	1.38365
1071	1.38607
1072	1.38607
1073	1.38687
1075	1.38445
1076	1.38526
1077	1.39009
1079	1.38768
1080	1.37559
1081	1.38365
1083	1.38848
1134	1.38123
1135	1.38929
1137	1.38929
1138	1.38848
1139	1.38365
1140	1.38929
1141	1.38848
1142	1.39090
1143	1.38365
1144	1.38929
1145	1.38848
1146	1.38445
1148	1.38848
1149	1.38687
1150	1.38848
1151	1.38848
1152	1.38768
1153	1.38848
1154	1.38607
1155	1.38687
1156	1.39009
1158	1.38607
1159	1.39009
1160	1.38687
1161	1.39009
1162	1.38848
1163	1.38526
1164	1.38848
1165	1.38768
1167	1.38607
1168	1.39009
1169	1.38687
1170	1.38445
1171	1.39009
1172	1.38284
1173	1.38284
1175	1.38445
1176	1.38768
1177	1.38687
1178	1.39493
1179	1.38848
1180	1.38768
1182	1.39573
1183	1.38204
1184	1.38607
1185	1.39251
1186	1.39090
1187	1.38848
1189	1.38607
1190	1.38848
1191	1.38445
1192	1.39009
1193	1.38687
1195	1.39090
1196	1.38607
1197	1.38284
1198	1.38365
1200	1.38768
1201	1.39009
1202	1.38365
1203	1.39009
1204	1.38848
1206	1.39090
1207	1.38768
1208	1.39412
1209	1.38607
1211	1.38768
1212	1.39009
1213	1.38607
1214	1.38929
1216	1.38929
1217	1.39090
1218	1.38687
1219	1.38929
1221	1.38687
1222	1.38848
1223	1.38687
1224	1.38848
1226	1.39009
1227	1.38929
1228	1.38848
1229	1.38848
1231	1.39009
1232	1.38929
1233	1.38445
1234	1.38607
1236	1.38607
1237	1.38929
1238	1.36431
1240	1.40298
1241	1.39332
1242	1.38768
1244	1.38607
1245	1.38607
1246	1.37962
1247	1.38607
1249	1.38687
1250	1.38123
1251	1.39654
1253	1.38687
1353	1.37801
1354	1.38768
1356	1.38848
1357	1.38929
1358	1.38929
1359	1.38768
1360	1.38687
1361	1.38929
1362	1.38607
1363	1.38848
1364	1.39412
1365	1.38445
1367	1.38687
1368	1.38445
1369	1.38445
1370	1.38687
1371	1.38607
1372	1.39009
1373	1.38848
1374	1.38848
1375	1.38607
1377	1.38687
1378	1.38687
1379	1.38929
1380	1.38929
1381	1.39009
1382	1.38929
1383	1.39009
1384	1.38687
1386	1.39171
1387	1.38607
1388	1.38284
1389	1.38687
1390	1.38445
1391	1.38848
1392	1.38848
1394	1.38929
1395	1.38929
1396	1.38768
1397	1.38445
1398	1.38687
1399	1.39332
1401	1.39009
1402	1.39332
1403	1.38123
1404	1.38929
1405	1.38687
1407	1.38687
1408	1.42071
1409	1.38365
1410	1.38687
1412	1.38687
1413	1.38445
1414	1.39493
1415	1.38687
1416	1.38607
1418	1.37640
1419	1.41507
1420	1.38768
1421	1.39009
1423	1.38526
1424	1.39332
1425	1.39332
1426	1.38929
1427	1.38445
1429	1.38768
1430	1.38687
1431	1.38445
1432	1.38607
1434	1.41346
1435	1.38607
1436	1.38848
1437	1.38445
1439	1.39009
1440	1.39090
1441	1.38687
1442	1.38123
1444	1.39009
1445	1.38687
1446	1.38043
1448	1.38768
1449	1.38848
1450	1.38607
1451	1.38445
1453	1.38687
1454	1.38687
1455	1.38768
1456	1.38445
1458	1.37720
1459	1.39090
1460	1.38445
1462	1.38768
1463	1.38123
1464	1.38204
1466	1.38365
1467	1.38929
1468	1.38768
1469	1.39090
1471	1.38768
1472	1.38929
1522	1.38768
1523	1.38929
1524	1.38284
1526	1.38445
1527	1.38607
1528	1.38687
1529	1.38768
1530	1.38687
1531	1.38607
1532	1.39090
1533	1.38445
1534	1.38768
1535	1.39090
1537	1.38768
1538	1.38687
1539	1.38768
1540	1.38929
1541	1.38768
1542	1.39171
1543	1.38445
1544	1.38768
1545	1.39251
1547	1.39493
1548	1.38768
1549	1.38929
1550	1.39654
1551	1.39332
1552	1.38768
1553	1.38284
1554	1.38607
1556	1.38768
1557	1.39573
1558	1.39412
1559	1.38204
1560	1.38768
1561	1.38768
1563	1.38687
1564	1.38687
1565	1.39009
1566	1.37962
1567	1.38687
1568	1.38848
1569	1.38848
1571	1.38043
1572	1.39251
1573	1.38848
1574	1.41990
1575	1.39332
1577	1.38687
1578	1.38607
1579	1.39009
1580	1.39009
1581	1.38929
1583	1.38607
1584	1.38607
1585	1.38848
1586	1.38687
1587	1.38768
1589	1.38848
1590	1.38284
1591	1.38607
1592	1.38043
1594	1.38768
1595	1.38607
1596	1.38768
1597	1.38687
1598	1.38607
1600	1.38607
1601	1.39251
1602	1.38445
1603	1.38687
1605	1.38123
1606	1.38607
1607	1.38929
1608	1.38365
1610	1.38768
1611	1.38687
1612	1.38607
1613	1.38848
1615	1.38607
1616	1.39009
1617	1.38687
1618	1.38526
1620	1.38687
1621	1.39412
1622	1.38607
1624	1.38929
1625	1.38687
1626	1.38929
1627	1.38687
1629	1.38284
1630	1.39332
1631	1.38365
1633	1.38687
1634	1.38445
1635	1.38607
1637	1.38204
1638	1.38607
1639	1.38687
1641	1.38607
1694	1.38687
1696	1.38284
1697	1.38607
1698	1.38848
1699	1.38204
1701	1.38687
1702	1.38607
1703	1.38929
1704	1.38607
1705	1.38687
1706	1.38607
1707	1.37559
1708	1.38365
1709	1.37559
1710	1.38848
1712	1.38768
1713	1.38848
1714	1.38768
1715	1.38848
1716	1.38607
1717	1.38687
1718	1.38687
1719	1.38284
1720	1.38848
1722	1.38768
1723	1.38848
1724	1.38607
1725	1.38687
1726	1.38687
1727	1.38768
1728	1.39009
1730	1.38687
1731	1.38687
1732	1.38687
1733	1.38607
1739	1.38768
1740	1.38848
1741	1.38768
1743	1.38365
1744	1.38768
1745	1.39332
1746	1.38607
1747	1.36431
1749	1.38768
1750	1.38768
1751	1.38687
1752	1.38445
1754	1.38768
1755	1.38687
1756	1.39090
1757	1.38687
1758	1.38284
1760	1.38929
1761	1.38365
1762	1.38768
1763	1.38687
1765	1.38929
1766	1.38687
1767	1.38607
1769	1.38687
1770	1.38365
1771	1.39090
1772	1.38929
1773	1.38768
1775	1.38365
1776	1.39009
1777	1.38365
1778	1.39332
1780	1.38445
1781	1.38043
1782	1.38848
1783	1.38687
1785	1.39009
1786	1.39090
1787	1.38687
1788	1.38365
1790	1.38929
1791	1.38123
1792	1.38445
1794	1.38929
1795	1.37801
1796	1.38284
1797	1.38687
1799	1.38607
1800	1.39251
