n,t_us,dec,bin,hex,volts
0,1016,1853,011100111101,0x73D,1.500500
1,4025,2012,011111011100,0x7DC,1.629253
2,6352,2132,100001010100,0x854,1.726425
3,8606,2251,100011001011,0x8CB,1.822788
4,10853,2369,100101000001,0x941,1.918340
5,13100,2486,100110110110,0x9B6,2.013083
6,15354,2594,101000100010,0xA22,2.100538
7,17607,2714,101010011010,0xA9A,2.197710
8,19856,2830,101100001110,0xB0E,2.291644
9,22110,2948,101110000100,0xB84,2.387196
10,24138,3057,101111110001,0xBF1,2.475461
11,26393,3100,110000011100,0xC1C,2.510281
12,62897,1206,010010110110,0x4B6,0.976580
13,65903,1049,010000011001,0x419,0.849447
14,68221,926,001110011110,0x39E,0.749845
15,70489,804,001100100100,0x324,0.651053
16,72733,689,001010110001,0x2B1,0.557930
17,75002,570,001000111010,0x23A,0.461568
18,77277,618,001001101010,0x26A,0.500437
19,79511,734,001011011110,0x2DE,0.594370
20,81740,851,001101010011,0x353,0.689113
21,83959,966,001111000110,0x3C6,0.782236
22,86221,1086,010000111110,0x43E,0.879408
23,88478,1204,010010110100,0x4B4,0.974961
24,90735,1323,010100101011,0x52B,1.071323
25,95643,1571,011000100011,0x623,1.272146
26,98643,1729,011011000001,0x6C1,1.400089
27,100953,1851,011100111011,0x73B,1.498881
28,103205,1967,011110101111,0x7AF,1.592814
29,105461,2086,100000100110,0x826,1.689176
30,107494,2196,100010010100,0x894,1.778251
31,109743,2312,100100001000,0x908,1.872184
32,111982,2422,100101110110,0x976,1.961258
33,114194,2542,100111101110,0x9EE,2.058430
34,116433,2654,101001011110,0xA5E,2.149124
35,118693,2772,101011010100,0xAD4,2.244677
36,120955,2902,101101010110,0xB56,2.349947
37,123201,3005,101110111101,0xBBD,2.433353
38,125430,3123,110000110011,0xC33,2.528906
39,127694,3032,101111011000,0xBD8,2.455217
40,129920,2915,101101100011,0xB63,2.360474
41,132186,2794,101011101010,0xAEA,2.262492
42,134316,2686,101001111110,0xA7E,2.175037
43,136546,2571,101000001011,0xA0B,2.081914
44,138789,2462,100110011110,0x99E,1.993649
45,141019,2342,100100100110,0x926,1.896477
46,143266,2226,100010110010,0x8B2,1.802544
47,145535,2108,100000111100,0x83C,1.706991
48,147771,1990,011111000110,0x7C6,1.611438
49,152654,1732,011011000100,0x6C4,1.402518
50,155642,1576,011000101000,0x628,1.276194
51,157981,1455,010110101111,0x5AF,1.178212
52,160231,1344,010101000000,0x540,1.088328
53,162491,1225,010011001001,0x4C9,0.991966
54,164748,1109,010001010101,0x455,0.898033
55,166999,989,001111011101,0x3DD,0.800861
56,169248,872,001101101000,0x368,0.706118
57,171487,752,001011110000,0x2F0,0.608946
58,173752,632,001001111000,0x278,0.511773
59,175994,548,001000100100,0x224,0.443753
